,stat,variable,Val
190,25%,TotalOperatingExpensesMensTeamandWomensTeam,50191.0
191,25%,OperatingExpensesperParticipantMenCoedTeam,616.2557471
192,25%,OperatingExpensesperTeamMenCoedTeam,7498.8247135
193,25%,OperatingExpensesperParticipantWomenCoedTeam,616.2557471
194,25%,OperatingExpensesperTeamWomenCoedTeam,8493.4252865
195,25%,TotalOperatingExpensesMenCoedTeamWomenCoedTeam,15992.25
196,25%,RevenuesMensTeam,92560.0
197,25%,RevenuesWomensTeam,81338.0
198,25%,TotalRevenuesForMensTeamandWomensTeam,168296.75
199,25%,RevenuesMenCoedTeam,10100.767242525
200,25%,RevenuesWomenCoedTeam,12337.482757475
201,25%,TotalRevenuesMenCoedTeamWomenCoedTeam,22438.25
202,25%,TotalRevenuesMensTeamandMenCoedTeam,89413.75
203,25%,TotalRevenuesWomensTeamandWomenCoedTeam,73519.75
204,25%,TotalRevenuesMensTeamWomensTeamandCoedTeam,168275.0
205,25%,ExpensesMensTeam,93809.0
206,25%,ExpensesWomensTeam,85303.25
207,25%,TotalExpensesMensTeamandWomensTeam,171379.5
208,25%,ExpensesMenCoedTeam,32955.75862475
209,25%,ExpensesWomenCoedTeam,39928.24137524999
210,25%,TotalExpensesMenCoedTeamandWomenCoedTeam,72884.0
211,25%,TotalExpensesMensTeamandMenCoedTeam,90644.25
212,25%,TotalExpensesWomensTeamandWomenCoedTeam,78006.25
213,25%,TotalExpensesMensTeamWomensTeamandCoedTeam,171228.75
214,25%,UGratioBG,0.6679492218404797
215,50%,SurveyYear,2012.0
216,50%,UNITID,179645.0
217,50%,ClassificationName,7.0
218,50%,SanctionCode,1.0
219,50%,MaleUndergraduates,963.0
220,50%,FemaleUndergraduates,1272.0
221,50%,TotalUndergraduates,2251.0
222,50%,SportCode,2.0
223,50%,ParticipantsMensTeam,15.0
224,50%,ParticipantsWomensTeam,14.0
225,50%,ParticipantsMenCoedTeam,11.5
226,50%,ParticipantsWomenCoedTeam,12.0
227,50%,TotalParticipantsMensTeamMenCoedTeam,15.0
228,50%,TotalParticipantsWomensTeamWomenCoedTeam,14.0
229,50%,OperatingExpensesperParticipantMensTeam,2673.0
230,50%,OperatingExpensesperTeamMensTeam,43827.0
231,50%,OperatingExpensesperParticipantWomensTeam,2697.0
232,50%,OperatingExpensesperTeamWomensTeam,38617.0
233,50%,TotalOperatingExpensesMensTeamandWomensTeam,82435.0
234,50%,OperatingExpensesperParticipantMenCoedTeam,1004.7337163999999
235,50%,OperatingExpensesperTeamMenCoedTeam,12719.871649
236,50%,OperatingExpensesperParticipantWomenCoedTeam,1004.7337163999999
237,50%,OperatingExpensesperTeamWomenCoedTeam,15164.628351
238,50%,TotalOperatingExpensesMenCoedTeamWomenCoedTeam,27884.5
239,50%,RevenuesMensTeam,207381.0
240,50%,RevenuesWomensTeam,175183.5
241,50%,TotalRevenuesForMensTeamandWomensTeam,375274.0
242,50%,RevenuesMenCoedTeam,19909.86781835
243,50%,RevenuesWomenCoedTeam,24441.63218165
244,50%,TotalRevenuesMenCoedTeamWomenCoedTeam,44351.5
245,50%,TotalRevenuesMensTeamandMenCoedTeam,203356.5
246,50%,TotalRevenuesWomensTeamandWomenCoedTeam,166794.5
247,50%,TotalRevenuesMensTeamWomensTeamandCoedTeam,375274.0
248,50%,ExpensesMensTeam,209052.0
249,50%,ExpensesWomensTeam,184437.5
250,50%,TotalExpensesMensTeamandWomensTeam,381132.5
251,50%,ExpensesMenCoedTeam,63953.1839165
252,50%,ExpensesWomenCoedTeam,78289.8160835
253,50%,TotalExpensesMenCoedTeamandWomenCoedTeam,142243.0
254,50%,TotalExpensesMensTeamandMenCoedTeam,204948.5
255,50%,TotalExpensesWomensTeamandWomenCoedTeam,175494.0
256,50%,TotalExpensesMensTeamWomensTeamandCoedTeam,380935.5
257,50%,UGratioBG,0.7970425037583708
258,75%,SurveyYear,2016.0
259,75%,UNITID,212133.0
260,75%,ClassificationName,10.0
261,75%,SanctionCode,3.0
262,75%,MaleUndergraduates,2253.0
