FBSConference,Year,Unnamed: 0,IPEDSID,TotalExpenses,ExcessTransfersBack,OtherExpenses,Medical,CompetitionGuarantees,Recruiting,GameExpensesandTravel,FacilitiesandEquipment,CoachesCompensation,SupportandAdminCompensationw/Severance,AthleticStudentAid,TotalRevenues,OtherRevenue,"CorporateSponsorship,Advertising,Licensing",DonorContributions,CompetitionGuarantees.1,"NCAA/ConferenceDistributions,MediaRights,andPost-SeasonFootball",TicketSales,Institutional/GovernmentSupport,StudentFees,TotalInstitutional/GovernmentSupportandStudentFees,TotalFootballSpending,TotalFootballCoachingSalaries,AthleticsRelatedDebt,"AnnualDebtService,LeasesandRentalFeesonAthleticFacilities",Rev/Exp,RevMinExp
Big 12 Conference,2017,968.25,196891.5,120644148.625,2195274.625,16629225.625,1306528.625,2141430.5,1967321.625,16445218.75,26715937.0,19621483.75,22403179.5,11218549.0,127829471.125,8998432.875,12966691.5,31801025.125,865037.25,40986845.75,29704175.625,572713.0,1934549.75,2507263.0,28268106.5,8723299.25,125007824.0,10084636.5,1.059557985877411,7185322.5
Big 12 Conference,2018,969.25,196891.5,122736062.125,1522513.0,15272992.75,1359845.0,1920927.75,2252138.625,15048707.625,29752602.875,20739870.125,23518617.75,11347846.25,129109341.375,8375023.375,13804309.625,35738853.25,978380.25,40915768.125,27708187.0,204535.5,1384284.25,1588819.75,29306928.0,8930745.625,123012426.875,11730250.625,1.051926704667363,6373279.25
Big 12 Conference,2019,970.25,196891.5,125455951.625,1373422.142857143,13618945.25,1374813.75,1947942.75,2328398.875,15382818.0,31338282.5,22913718.375,23915320.25,11433967.625,130967672.0,7428218.625,14077877.0,32240847.5,806285.875,47199166.25,27717009.375,791685.0,2080553.6,2397227.8,32484923.5,10310427.5,108871170.5,10135817.0,1.0439335105557612,5511720.375
Big 12 Conference,2020,971.25,196891.5,115878228.625,1568141.0,11989750.625,1316536.25,1979719.0,1652436.125,13122116.0,27167170.75,23446155.625,23141147.5,10691072.75,119127980.5,5573658.75,13148966.625,28594721.25,744593.75,43877767.375,26247751.0,719126.0,1521480.0,1504834.4,31184855.5,10794937.0,110630532.25,10453517.0,1.0280445422195459,3249751.875
Big 12 Conference,2021,972.25,196891.5,101335425.25,1087333.625,7050304.5,2647249.25,897933.875,656448.5,8837338.375,24374011.75,22972497.5,22130839.875,10681468.0,94334848.625,5948396.25,12072699.375,28379200.375,140388.75,38511326.25,5636113.0,3040875.25,605849.375,3646724.625,25828949.75,10022452.5,109458489.25,6937108.0,0.9309167884012013,-7000576.625
Big East Conference,2005,1203.6,197012.8,56060370.0,0.0,8840478.333333334,1111630.3333333333,1759090.6666666667,1059474.0,8336802.0,6884738.333333333,10001089.0,9118542.333333334,8948524.666666666,54915211.333333336,4241300.0,5623252.333333333,8038966.333333333,1194711.3333333333,8648471.0,12280753.0,8412404.333333334,6475353.0,14887758.0,15019029.333333334,3240698.0,26876898.666666668,3748121.6666666665,0.9795727593901599,-1145158.6666666642
Big East Conference,2006,1341.5714285714287,180750.0,52156361.166666664,0.0,8207727.0,826950.6666666666,1829854.8333333333,945101.6666666666,7334895.333333333,6867730.166666667,8963740.666666666,9128802.0,8051559.0,53967277.166666664,3573212.0,4060953.1666666665,12122424.166666666,1496410.5,8451550.0,11398837.166666666,6785582.666666667,6078307.833333333,12863890.5,13491442.666666666,3203528.0,43580232.333333336,1450217.6666666667,1.034720903826346,1810916.0
Big East Conference,2007,1342.5714285714287,180750.0,56214428.0,0.0,9068394.333333334,1026960.6666666666,2063282.5,978380.0,7869495.0,8072708.5,9831199.166666666,8849229.833333334,8454777.333333334,56429813.666666664,4336513.833333333,4302399.0,11221089.5,1456404.1666666667,8791322.833333334,12209110.5,7742238.666666667,6370735.5,14112974.166666666,15401398.5,3892858.1666666665,40151523.0,3495516.6,1.0038315015260257,215385.66666666418
Big East Conference,2008,1343.5714285714287,180750.0,58764436.333333336,0.0,9485080.833333334,996524.3333333334,2030281.6666666667,1095964.8333333333,8865564.5,7280383.5,11027704.166666666,9292283.666666666,8690649.333333334,59834101.0,4039382.3333333335,4671357.166666667,11875258.333333334,1390325.6666666667,10073946.666666666,13309555.833333334,7877760.5,6596514.166666667,14474274.666666666,16990406.0,4326663.333333333,41818205.2,3648390.6,1.0182025853289758,1069664.6666666642
Big East Conference,2009,1344.5714285714287,180750.0,65047494.833333336,0.0,10466385.166666666,914662.8333333334,2271168.6666666665,1026738.8333333334,9233420.333333334,9436637.166666666,12132633.0,10455261.333333334,9110587.333333334,66740783.0,4228965.333333333,6822379.833333333,11696093.0,1584126.5,11092811.666666666,14755868.5,9348099.833333334,7212438.666666667,16560538.166666666,17750136.666666668,4723304.666666667,71559094.83333333,4878909.0,1.026031566181069,1693288.1666666642
Big East Conference,2010,1345.5714285714287,180750.0,66899931.166666664,0.0,9620377.333333334,1128910.0,2385785.1666666665,948795.5,8990147.0,10335280.333333334,12909545.833333334,10878584.333333334,9702504.666666666,68002435.5,5259038.0,5938182.666666667,11640318.333333334,1491107.8333333333,11678204.833333334,15036022.666666666,9477525.833333334,7482035.666666667,16959561.5,18888992.666666668,5036641.333333333,71821971.83333333,6081649.666666667,1.0164799023572488,1102504.3333333358
Big East Conference,2011,1346.5714285714287,180750.0,71056237.0,0.0,11235228.166666666,1159306.8333333333,2622933.8333333335,928784.6666666666,8433945.0,11221827.5,13527268.0,12242193.5,9684749.5,71503256.16666667,4365035.666666667,5209260.333333333,14538878.5,2017521.3333333333,11755117.5,15708057.333333334,10061245.333333334,7848140.333333333,17909385.666666668,18016689.5,5509172.666666667,72991020.66666667,7103874.0,1.00629106163709,447019.16666667163
Big East Conference,2012,1271.375,185198.625,78268918.16666667,0.0,14267574.833333334,1110127.5,2738392.6666666665,1018223.0,9459028.333333334,12685669.333333334,14182336.5,12700281.666666666,10107285.0,76316129.66666667,5927985.5,5545346.0,15797827.333333334,1420674.0,13390698.5,15790792.666666666,10489223.666666666,7953582.333333333,18442805.833333332,19011956.0,5588608.166666667,64151915.166666664,6695021.833333333,0.9750502684112522,-1952788.5
Big East Conference,2013,1188.2857142857142,177651.0,78850755.0,0.0,14057194.4,1103560.0,2389479.8,1047585.0,9745159.2,12139473.4,14872077.8,13045526.6,10450698.4,80375555.6,5088863.4,6330701.2,11617006.6,2006378.4,14831759.6,13461602.2,18244562.2,8794681.8,27039244.2,19885071.2,5843408.0,70273850.2,9712476.6,1.019337805960133,1524800.599999994
Big Ten Conference,2005,996.2,187058.5,82185477.5,0.0,12635417.2,1404580.2,3105769.7,1172432.6,8723273.5,19049590.9,12096470.7,13091998.0,10905944.4,85962009.5,10351770.9,6004382.8,17981423.9,1078270.6,18524321.4,28085158.3,3205455.8,731226.4,3936682.3,19418267.8,3906634.2,89075347.66666667,6466074.0,1.045951330026646,3776532.0
Big Ten Conference,2006,997.2,187058.5,86454521.1111111,0.0,12183419.444444444,1303748.5555555555,3580286.222222222,1267995.3333333333,9251193.444444444,19626439.666666668,14062822.333333334,13929796.666666666,11248819.555555556,91600235.55555555,11762165.333333334,6543009.777777778,19730917.111111112,1136472.6666666667,18763787.222222224,29273377.333333332,3589359.888888889,801146.7777777778,4390506.555555556,21825063.111111112,5199979.777777778,92629761.1111111,7392669.777777778,1.05951932158448,5145714.444444448
Big Ten Conference,2007,998.2,187058.5,91040584.8888889,0.0,13728520.333333334,1323555.7777777778,3220293.111111111,1281700.5555555555,10156005.333333334,19946739.777777776,14161382.444444444,15751391.0,11470996.555555556,96036096.55555555,12005957.666666666,7056362.666666667,19314317.444444444,1141326.2222222222,22149817.777777776,30244235.222222224,3509334.4444444445,614745.4444444445,4124079.888888889,23118681.125,4956066.555555556,101107334.14285715,8687720.142857144,1.0548712606884443,4995511.666666657
Big Ten Conference,2008,999.2,187058.5,95843361.22222222,0.0,12347057.777777778,1361159.3333333333,3916780.3333333335,1367882.5555555555,11556968.555555556,22488495.666666668,14229630.333333334,16592874.222222222,11982512.444444444,102218146.77777778,11187401.444444444,6731101.0,19849912.111111112,1774269.888888889,29168706.555555556,29844860.111111112,3044068.3333333335,617827.2222222222,3661895.4444444445,21649830.625,5137684.333333333,138551329.5,8050404.5,1.0665125416540326,6374785.555555552
Big Ten Conference,2009,1000.2,187058.5,98783180.1111111,0.0,13369785.0,1231655.6666666667,3324081.888888889,1324464.4444444445,10974538.333333334,23418580.222222224,15238217.444444444,17195142.555555556,12706714.222222222,102867863.44444445,11212184.222222222,8483678.222222222,20285931.0,1211208.111111111,27861301.111111112,30384208.777777776,2944927.5555555555,484424.44444444444,3429351.777777778,24658834.333333332,5239064.666666667,172258482.2857143,11304458.42857143,1.0413499882139743,4084683.3333333433
Big Ten Conference,2010,1001.2,187058.5,101848993.1,0.0,14710725.7,1373334.2,3536291.6,1294775.1,10511226.6,24898055.4,15649821.1,16878742.4,12996021.0,110574915.6,11962802.3,9212944.8,23893510.2,945450.7,28843863.9,32735457.5,2547530.7,433355.6,2980886.3,23115291.7,4905925.3,135809288.0,10115023.0,1.0856750983432157,8725922.5
Big Ten Conference,2011,1002.2,187058.5,106525835.4,0.0,14678881.4,1443784.4,3418741.7,1292878.2,10922564.8,26615163.8,16493719.8,18165684.5,13494417.0,113095310.6,13111557.5,9279571.2,23134448.4,1236464.4,31063307.6,32116847.3,2729929.8,423184.8,3153114.5,24220129.2,5494256.7,162001078.5,12575207.2,1.061670252810803,6569475.199999988
Big Ten Conference,2012,1045.5454545454545,186549.9090909091,109160383.72727273,0.0,17958991.727272727,1452256.9090909092,3489887.727272727,1471602.0909090908,12444470.636363637,23218769.09090909,17037619.0,18481164.90909091,13605622.181818182,115192834.81818181,14433003.636363637,9891980.909090908,22002014.272727273,1002754.8181818182,31005983.727272727,34087062.0,2389760.5454545454,380274.9090909091,2770035.4545454546,24085367.272727273,5762282.363636363,149981207.0909091,10971445.727272727,1.0552622745077611,6032451.090909079
Big Ten Conference,2013,1046.5454545454545,186549.9090909091,117284078.45454545,0.0,15410274.272727273,1607792.0909090908,4073394.6363636362,1730187.1818181819,11716358.0,29093612.636363637,18900969.0,20500233.363636363,14251257.363636363,122250884.45454545,14250460.0,10479570.454545455,27936830.09090909,1629897.2727272727,32343672.454545453,32951771.545454547,2266958.090909091,391725.0,2658683.090909091,25902466.636363637,6431186.454545454,140167555.0,11236719.818181818,1.042348510261987,4966806.0
Big Ten Conference,2014,1047.5454545454545,186549.9090909091,119033649.45454545,0.0,15833940.545454545,1518528.1818181819,4083800.272727273,1920240.7272727273,12629930.727272727,26611421.545454547,19950034.636363637,21757752.181818184,14728000.727272727,124568077.0909091,14331018.0,11025120.090909092,26776062.727272727,399832.0,33924931.45454545,35608028.0,2114870.4545454546,388214.7272727273,2503085.1818181816,29205028.818181816,8171077.7272727275,153346849.63636363,11470338.454545455,1.0464946480404858,5534427.63636364
Big Ten Conference,2015,1044.3846153846155,184747.3076923077,122805596.46153846,930140.3076923077,14597299.384615384,1663640.3076923077,3072104.230769231,1875064.5384615385,12793406.23076923,30135917.46153846,20671970.307692308,22057685.923076924,15008368.0,124040972.61538461,12774735.923076924,11673858.692307692,25345526.0,909619.3846153846,36613147.307692304,31344517.076923076,3065471.5384615385,2314096.846153846,5379568.461538462,28446114.53846154,8546074.153846154,137039622.30769232,11605748.538461538,1.0100596079449282,1235376.1538461447
Big Ten Conference,2016,1045.3846153846155,184747.3076923077,130377399.76923077,897179.4615384615,14422555.923076924,1639835.7692307692,3679122.076923077,1862273.2307692308,14874481.461538462,30686990.230769232,21846008.615384616,23868957.53846154,16599995.384615384,131125765.61538461,13804066.76923077,12974109.23076923,26407492.230769232,873955.8461538461,40379859.692307696,31332984.384615384,3016177.923076923,2337119.3076923075,5353297.153846154,32145342.923076924,9010832.538461538,142051979.53846154,11763420.846153846,1.0057399967132221,748365.8461538404
Big Ten Conference,2017,1046.3846153846155,184747.3076923077,136467882.84615386,1235414.1538461538,13948548.923076924,1644541.4615384615,3356811.4615384615,2076948.6153846155,14999885.846153846,32512281.769230768,22969226.692307692,26444333.307692308,17279890.769230768,138735092.53846154,14706381.076923076,14794167.846153846,27728028.769230768,676555.1538461539,43828225.23076923,30802335.923076924,3844479.5384615385,2354918.5384615385,6199398.076923077,35020199.538461536,9603616.384615384,145919283.76923078,11003997.846153846,1.016613503815133,2267209.692307681
Big Ten Conference,2018,1047.3846153846155,184747.3076923077,145341754.46153846,1659487.3846153845,14044705.0,1590638.5384615385,3241769.769230769,2222161.769230769,14976208.461538462,36199313.307692304,25456060.230769232,28259591.923076924,17691818.307692308,150133651.84615386,14051406.923076924,14989381.846153846,24798851.769230768,979438.6153846154,58702764.07692308,31084132.769230768,3227595.0,2300081.230769231,5527676.384615385,36762230.76923077,11025052.923076924,156756978.92307693,12589328.384615384,1.0329698606045343,4791897.3846153915
Big Ten Conference,2019,1048.3846153846155,184747.3076923077,149456279.92307693,1953033.75,14762262.846153846,1731834.4615384615,3780766.6923076925,2455895.923076923,16107424.692307692,36100434.07692308,26678636.846153848,28226705.384615384,17809518.384615384,151526289.46153846,14574957.076923076,15084813.384615384,24253401.46153846,838691.8333333334,60390304.23076923,29956402.615384616,6054762.333333333,7476544.0,8439903.6,38393013.23076923,11978933.692307692,177117421.33333334,14827105.75,1.0138502680484685,2070009.5384615362
Big Ten Conference,2020,1049.3846153846155,184747.3076923077,146235660.6153846,1938072.4166666667,13729591.692307692,1769242.3076923077,3670823.6923076925,1880687.5384615385,14001595.615384616,36075947.23076923,27592633.846153848,28064099.615384616,17662049.307692308,145822793.46153846,13068823.538461538,15471875.846153846,22959856.769230768,380522.0,58172980.461538464,30460531.53846154,4732753.777777778,6698096.0,6938716.8,38466975.92307692,13133173.846153846,169323495.58333334,20677723.363636363,0.9971766999095246,-412867.1538461447
Big Ten Conference,2021,1050.3846153846155,184747.3076923077,115083667.76923077,217079.46153846153,7966481.307692308,2671513.6153846155,273777.3846153846,426481.6153846154,6655954.230769231,30118554.384615384,25778757.769230768,23901745.53846154,17073322.46153846,89469737.07692307,7164936.461538462,12135554.076923076,18448755.692307692,51522.153846153844,44989345.538461536,4557.0,4678831.692307692,1996234.4615384615,6675066.153846154,28671981.846153848,12191479.307692308,148776652.07692307,12986818.76923077,0.7774320962408887,-25613930.692307696
Conference USA,2005,1167.3333333333333,179492.55555555556,32126387.888888888,0.0,4949151.555555556,433244.8888888889,1269189.5555555555,537078.1111111111,4219744.333333333,3749968.4444444445,6368538.111111111,5185576.555555556,5413896.777777778,32312375.111111112,2564296.4444444445,1409365.5555555555,6289087.777777778,2015033.4444444445,3500411.0,5648414.777777778,5787767.777777778,5097998.555555556,10885766.222222222,9010454.625,2369091.3333333335,37002833.833333336,1629803.5714285714,1.005789235405657,185987.22222222388
Conference USA,2006,984.875,190137.0,30723670.0,0.0,4581504.625,626687.25,600866.125,534261.125,3870917.75,4446007.125,5353496.125,4549645.875,6160283.25,28762542.875,1814609.375,1145400.5,5266538.5,781598.25,3628849.875,4075369.125,5120848.25,6929328.25,12050176.875,8547424.0,2242773.875,16302517.25,1160390.5714285714,0.936168852060968,-1961127.125
Conference USA,2007,985.875,190137.0,32161475.5,0.0,4824974.75,711835.25,843796.875,615069.75,4044897.25,4255652.75,5718948.0,4957624.5,6188676.0,30417739.125,1968430.875,1041553.875,5460291.5,898432.625,3736141.375,4900312.5,5063284.125,7349292.625,12412576.5,8516143.285714285,2025806.625,73517871.25,3006110.0,0.9457818291017152,-1743736.375
Conference USA,2008,986.875,190137.0,34811916.375,0.0,4847387.625,644509.875,809951.375,536872.875,4494448.25,5761918.75,6362387.625,5202717.5,6151722.5,35218661.375,2135244.5,1600429.75,5580816.125,1095677.375,3906974.875,5429578.375,7292134.25,8177806.125,15469940.375,10114419.125,2620004.125,38381699.85714286,2619028.285714286,1.0116840737987094,406745.0
Conference USA,2009,987.875,190137.0,35866275.125,0.0,4576935.625,741716.25,945985.75,604604.25,4558395.875,5632361.375,6759085.5,5540745.625,6506445.0,35701330.375,1948432.375,1753189.0,5013464.0,1357919.375,4020555.375,5180278.0,7902785.625,8524707.125,16427492.75,10437601.375,2848938.375,40459286.71428572,2881021.5,0.9954011184761969,-164944.75
Conference USA,2010,988.875,190137.0,36982251.625,0.0,4632061.25,707066.875,937318.625,619698.25,4388190.875,5959943.375,7342406.875,5665579.0,6729986.375,37072803.375,2169583.0,1703522.875,5829546.25,784596.75,4357791.375,5344804.625,7849560.25,9033398.25,16882958.75,11500344.375,3469772.25,31303861.714285713,1801478.625,1.0024485191144714,90551.75
Conference USA,2011,989.875,190137.0,37421907.375,0.0,4521800.5,823289.5,914214.5,680619.0,4613104.0,6245052.25,6954597.375,5605394.125,7063836.125,38143725.375,1689263.875,1956734.875,5458785.375,1061930.375,4090894.5,5572643.125,9045879.375,9267593.75,18313473.125,10851855.125,2892819.875,31070171.85714286,2104386.5,1.019288648030865,721818.0
Conference USA,2012,990.875,190137.0,38364367.125,0.0,4696651.125,823800.125,952809.0,654314.75,4735544.625,5879044.375,7093644.5,6284077.75,7244481.0,39253980.5,1803768.375,1780783.625,5798071.125,1244869.625,3723905.625,5230752.375,10373560.0,9298269.75,19671829.875,11225255.25,2983292.0,24356328.875,4141717.0,1.0231885325281513,889613.375
Conference USA,2013,991.875,190137.0,39988749.375,0.0,5212878.75,742565.625,1062906.25,674250.5,4688279.875,6410755.25,7639030.75,6086003.0,7472079.625,39684570.5,1426125.25,2283837.25,5910518.25,1212306.75,3657404.75,4838439.75,10562476.625,9793462.0,20355938.375,11359938.125,3336055.875,26968194.375,1990420.375,0.9923933886467036,-304178.875
Conference USA,2014,731.5,189940.83333333334,33418439.666666668,0.0,3998420.9166666665,558256.0833333334,745677.4166666666,572078.5833333334,4234838.666666667,5431089.583333333,5834491.583333333,5079933.75,6963653.666666667,33460593.0,1217262.5833333333,1394251.0833333333,3596768.8333333335,1833830.8333333333,3265326.25,2688551.9166666665,7747425.583333333,11717175.416666666,19464601.25,9783989.0,2376078.6666666665,34557234.333333336,4087612.75,1.00126137945858,42153.33333333209
Conference USA,2015,871.3333333333334,186564.75,33977784.5,0.0,3630979.8333333335,583786.25,876351.4166666666,605805.25,4133958.1666666665,6405486.416666667,5905286.0,4710985.166666667,7125145.25,34156210.916666664,1067829.5,1532331.25,3608866.6666666665,1328283.25,4207555.416666667,2391594.8333333335,8992763.333333334,11026986.75,20019750.166666668,9633150.166666666,2339338.9166666665,33663368.75,2214810.75,1.0052512669466918,178426.41666666418
Conference USA,2016,925.0769230769231,187532.0,34533536.692307696,0.0,3252965.0,581994.0,749638.0769230769,589897.0,4401668.769230769,6464846.846153846,6023711.923076923,4950751.0,7518064.538461538,35670921.384615384,1233647.076923077,1345099.3076923077,4144417.769230769,1418479.1538461538,4423720.076923077,2396059.230769231,8717003.615384616,11992494.923076924,20709498.769230768,10367785.846153846,2411357.5384615385,33600224.0,2534313.3076923075,1.032935656212734,1137384.6923076883
Conference USA,2017,926.0769230769231,187532.0,35098123.15384615,0.0,3058374.076923077,581779.0,804567.3076923077,629108.3076923077,4475581.923076923,6922968.0,6116772.692307692,4948532.230769231,7560439.384615385,35035306.461538464,1280727.8461538462,1336952.3076923077,4015450.3846153845,1179048.7692307692,3944679.153846154,2170942.3846153845,9136584.615384616,11970921.384615384,21107506.0,10924120.23076923,2548357.153846154,29154186.53846154,2383999.230769231,0.9982102549463302,-62816.692307688296
Conference USA,2018,927.0769230769231,187532.0,36500275.307692304,0.0,3390695.4615384615,644346.4615384615,677535.2307692308,651915.9230769231,4712944.538461538,6795034.769230769,6651947.384615385,5160355.230769231,7815500.230769231,35987476.615384616,1251111.0,1464627.5384615385,4349110.461538462,1198746.8461538462,3662271.4615384615,2247724.0,9651106.615384616,12162778.461538462,21813885.153846152,11537748.153846154,2895604.5384615385,27126068.076923076,2126286.230769231,0.9859508267270626,-512798.6923076883
Conference USA,2019,928.0769230769231,187532.0,36693102.15384615,0.0,3336333.769230769,734061.3076923077,673465.5384615385,704191.3846153846,4795476.538461538,7169648.846153846,6855263.153846154,5115241.384615385,7309420.461538462,37151475.538461536,1227117.0,1500607.076923077,4389871.076923077,1694129.1538461538,3448281.3076923075,2195025.923076923,10868890.0,13718924.083333334,22696443.846153848,11443080.23076923,3051926.846153846,30775003.153846152,2199590.5384615385,1.0124920859155904,458373.38461538404
