,SurveyYear,group,fulltype,Val,fulltypegroup,gender,type
419,2014,0.6,RevenuesWomensTeam,1515339.0,RevenuesWomensTeam0.6,W,revenues
420,2014,0.7,OperatingExpensesperTeamMensTeam,1427608.0,OperatingExpensesperTeamMensTeam0.7,M,expenses
421,2014,0.7,OperatingExpensesperTeamWomensTeam,873992.0,OperatingExpensesperTeamWomensTeam0.7,W,expenses
422,2014,0.7,RevenuesMensTeam,9016647.5,RevenuesMensTeam0.7,M,revenues
423,2014,0.7,RevenuesWomensTeam,1767642.5,RevenuesWomensTeam0.7,W,revenues
424,2014,0.8,OperatingExpensesperTeamMensTeam,1735859.0,OperatingExpensesperTeamMensTeam0.8,M,expenses
425,2014,0.8,OperatingExpensesperTeamWomensTeam,1035511.0,OperatingExpensesperTeamWomensTeam0.8,W,expenses
426,2014,0.8,RevenuesMensTeam,11185840.0,RevenuesMensTeam0.8,M,revenues
427,2014,0.8,RevenuesWomensTeam,2050226.0,RevenuesWomensTeam0.8,W,revenues
428,2014,0.9,OperatingExpensesperTeamMensTeam,2141912.0,OperatingExpensesperTeamMensTeam0.9,M,expenses
429,2014,0.9,OperatingExpensesperTeamWomensTeam,1264236.0,OperatingExpensesperTeamWomensTeam0.9,W,expenses
430,2014,0.9,RevenuesMensTeam,16824088.0,RevenuesMensTeam0.9,M,revenues
431,2014,0.9,RevenuesWomensTeam,2639327.0,RevenuesWomensTeam0.9,W,revenues
432,2015,0.1,OperatingExpensesperTeamMensTeam,467217.0,OperatingExpensesperTeamMensTeam0.1,M,expenses
433,2015,0.1,OperatingExpensesperTeamWomensTeam,278107.0,OperatingExpensesperTeamWomensTeam0.1,W,expenses
434,2015,0.1,RevenuesMensTeam,1837573.5,RevenuesMensTeam0.1,M,revenues
435,2015,0.1,RevenuesWomensTeam,411737.0,RevenuesWomensTeam0.1,W,revenues
436,2015,0.2,OperatingExpensesperTeamMensTeam,560997.0,OperatingExpensesperTeamMensTeam0.2,M,expenses
437,2015,0.2,OperatingExpensesperTeamWomensTeam,369200.0,OperatingExpensesperTeamWomensTeam0.2,W,expenses
438,2015,0.2,RevenuesMensTeam,2340047.0,RevenuesMensTeam0.2,M,revenues
439,2015,0.2,RevenuesWomensTeam,653435.0,RevenuesWomensTeam0.2,W,revenues
440,2015,0.3,OperatingExpensesperTeamMensTeam,732538.5,OperatingExpensesperTeamMensTeam0.3,M,expenses
441,2015,0.3,OperatingExpensesperTeamWomensTeam,432954.5,OperatingExpensesperTeamWomensTeam0.3,W,expenses
442,2015,0.3,RevenuesMensTeam,3319593.5,RevenuesMensTeam0.3,M,revenues
443,2015,0.3,RevenuesWomensTeam,993507.0,RevenuesWomensTeam0.3,W,revenues
444,2015,0.4,OperatingExpensesperTeamMensTeam,958947.0,OperatingExpensesperTeamMensTeam0.4,M,expenses
445,2015,0.4,OperatingExpensesperTeamWomensTeam,558658.0,OperatingExpensesperTeamWomensTeam0.4,W,expenses
446,2015,0.4,RevenuesMensTeam,4736010.0,RevenuesMensTeam0.4,M,revenues
447,2015,0.4,RevenuesWomensTeam,1292169.0,RevenuesWomensTeam0.4,W,revenues
448,2015,0.5,OperatingExpensesperTeamMensTeam,1198675.5,OperatingExpensesperTeamMensTeam0.5,M,expenses
449,2015,0.5,OperatingExpensesperTeamWomensTeam,659023.5,OperatingExpensesperTeamWomensTeam0.5,W,expenses
450,2015,0.5,RevenuesMensTeam,6258957.0,RevenuesMensTeam0.5,M,revenues
451,2015,0.5,RevenuesWomensTeam,1424736.5,RevenuesWomensTeam0.5,W,revenues
452,2015,0.6,OperatingExpensesperTeamMensTeam,1368686.0,OperatingExpensesperTeamMensTeam0.6,M,expenses
453,2015,0.6,OperatingExpensesperTeamWomensTeam,793538.0,OperatingExpensesperTeamWomensTeam0.6,W,expenses
454,2015,0.6,RevenuesMensTeam,8321985.0,RevenuesMensTeam0.6,M,revenues
455,2015,0.6,RevenuesWomensTeam,1620997.0,RevenuesWomensTeam0.6,W,revenues
456,2015,0.7,OperatingExpensesperTeamMensTeam,1610982.0,OperatingExpensesperTeamMensTeam0.7,M,expenses
457,2015,0.7,OperatingExpensesperTeamWomensTeam,938761.5,OperatingExpensesperTeamWomensTeam0.7,W,expenses
458,2015,0.7,RevenuesMensTeam,9509320.0,RevenuesMensTeam0.7,M,revenues
459,2015,0.7,RevenuesWomensTeam,1919985.5,RevenuesWomensTeam0.7,W,revenues
460,2015,0.8,OperatingExpensesperTeamMensTeam,1840931.0,OperatingExpensesperTeamMensTeam0.8,M,expenses
461,2015,0.8,OperatingExpensesperTeamWomensTeam,1046939.0,OperatingExpensesperTeamWomensTeam0.8,W,expenses
462,2015,0.8,RevenuesMensTeam,11662504.0,RevenuesMensTeam0.8,M,revenues
463,2015,0.8,RevenuesWomensTeam,2304459.0,RevenuesWomensTeam0.8,W,revenues
464,2015,0.9,OperatingExpensesperTeamMensTeam,2162957.0,OperatingExpensesperTeamMensTeam0.9,M,expenses
465,2015,0.9,OperatingExpensesperTeamWomensTeam,1331680.0,OperatingExpensesperTeamWomensTeam0.9,W,expenses
466,2015,0.9,RevenuesMensTeam,17392120.5,RevenuesMensTeam0.9,M,revenues
467,2015,0.9,RevenuesWomensTeam,3180255.0,RevenuesWomensTeam0.9,W,revenues
468,2016,0.1,OperatingExpensesperTeamMensTeam,464222.0,OperatingExpensesperTeamMensTeam0.1,M,expenses
469,2016,0.1,OperatingExpensesperTeamWomensTeam,286369.8,OperatingExpensesperTeamWomensTeam0.1,W,expenses
470,2016,0.1,RevenuesMensTeam,2007474.4,RevenuesMensTeam0.1,M,revenues
471,2016,0.1,RevenuesWomensTeam,462885.0,RevenuesWomensTeam0.1,W,revenues
472,2016,0.2,OperatingExpensesperTeamMensTeam,541603.0,OperatingExpensesperTeamMensTeam0.2,M,expenses
473,2016,0.2,OperatingExpensesperTeamWomensTeam,340033.8,OperatingExpensesperTeamWomensTeam0.2,W,expenses
474,2016,0.2,RevenuesMensTeam,2558008.0,RevenuesMensTeam0.2,M,revenues
475,2016,0.2,RevenuesWomensTeam,774976.2000000001,RevenuesWomensTeam0.2,W,revenues
476,2016,0.3,OperatingExpensesperTeamMensTeam,730442.6,OperatingExpensesperTeamMensTeam0.3,M,expenses
477,2016,0.3,OperatingExpensesperTeamWomensTeam,418619.8,OperatingExpensesperTeamWomensTeam0.3,W,expenses
478,2016,0.3,RevenuesMensTeam,3393253.5999999996,RevenuesMensTeam0.3,M,revenues
479,2016,0.3,RevenuesWomensTeam,1100882.0,RevenuesWomensTeam0.3,W,revenues
480,2016,0.4,OperatingExpensesperTeamMensTeam,868880.2,OperatingExpensesperTeamMensTeam0.4,M,expenses
481,2016,0.4,OperatingExpensesperTeamWomensTeam,546226.0,OperatingExpensesperTeamWomensTeam0.4,W,expenses
482,2016,0.4,RevenuesMensTeam,5212825.600000001,RevenuesMensTeam0.4,M,revenues
483,2016,0.4,RevenuesWomensTeam,1392084.8,RevenuesWomensTeam0.4,W,revenues
