,SurveyYear,type,Val
194,2010,TotalRevenuesWomensTeamandWomenCoedTeam,356179.9638411381
195,2010,TotalRevenuesMensTeamWomensTeamandCoedTeam,1234490.3088322466
196,2010,ExpensesMensTeam,692031.2305839856
197,2010,ExpensesWomensTeam,455520.3601720959
198,2010,TotalExpensesMensTeamandWomensTeam,1120684.9436870185
199,2010,TotalExpensesMensTeamandMenCoedTeam,681365.6633076468
200,2010,TotalExpensesWomensTeamandWomenCoedTeam,439319.28037937166
201,2010,TotalExpensesMensTeamWomensTeamandCoedTeam,1120684.9436870185
202,2011,TotalUndergraduates,4501.945529899349
203,2011,ParticipantsMensTeam,16.359591100420925
204,2011,ParticipantsWomensTeam,14.793272171253822
205,2011,TotalParticipantsMensTeamMenCoedTeam,16.10775606867969
206,2011,TotalParticipantsWomensTeamWomenCoedTeam,14.320307874481943
207,2011,OperatingExpensesperParticipantMensTeam,9837.44819419775
208,2011,OperatingExpensesperTeamMensTeam,150203.522794553
209,2011,OperatingExpensesperParticipantWomensTeam,6449.2190645352275
210,2011,OperatingExpensesperTeamWomensTeam,97013.8804026051
211,2011,TotalOperatingExpensesMensTeamandWomensTeam,247217.40319715807
212,2011,RevenuesMensTeam,952805.4233313289
213,2011,RevenuesWomensTeam,405275.9204892966
214,2011,TotalRevenuesForMensTeamandWomensTeam,1330456.808170515
215,2011,TotalRevenuesMensTeamandMenCoedTeam,938138.199526347
216,2011,TotalRevenuesWomensTeamandWomenCoedTeam,392318.6086441681
217,2011,TotalRevenuesMensTeamWomensTeamandCoedTeam,1330456.808170515
218,2011,ExpensesMensTeam,755834.7378232111
219,2011,ExpensesWomensTeam,486439.11131498474
220,2011,TotalExpensesMensTeamandWomensTeam,1215086.5103611604
221,2011,TotalExpensesMensTeamandMenCoedTeam,744199.6264061575
222,2011,TotalExpensesWomensTeamandWomenCoedTeam,470886.88395500294
223,2011,TotalExpensesMensTeamWomensTeamandCoedTeam,1215086.5103611604
224,2012,TotalUndergraduates,4454.1341965862275
225,2012,ParticipantsMensTeam,16.402031063321385
226,2012,ParticipantsWomensTeam,14.97992700729927
227,2012,TotalParticipantsMensTeamMenCoedTeam,16.160682754561506
228,2012,TotalParticipantsWomensTeamWomenCoedTeam,14.494997057092407
229,2012,OperatingExpensesperParticipantMensTeam,10366.815773984697
230,2012,OperatingExpensesperTeamMensTeam,159903.8599175986
231,2012,OperatingExpensesperParticipantWomensTeam,6682.426133019423
232,2012,OperatingExpensesperTeamWomensTeam,102996.34549735139
233,2012,TotalOperatingExpensesMensTeamandWomensTeam,262900.20541495
234,2012,RevenuesMensTeam,996502.5005973716
235,2012,RevenuesWomensTeam,433704.04257907544
236,2012,TotalRevenuesForMensTeamandWomensTeam,1401503.6091818716
237,2012,TotalRevenuesMensTeamandMenCoedTeam,981839.4267216009
238,2012,TotalRevenuesWomensTeamandWomenCoedTeam,419664.18246027076
239,2012,TotalRevenuesMensTeamWomensTeamandCoedTeam,1401503.6091818716
240,2012,ExpensesMensTeam,786171.1260454003
241,2012,ExpensesWomensTeam,506275.6155717762
242,2012,TotalExpensesMensTeamandWomensTeam,1264489.4508534432
243,2012,TotalExpensesMensTeamandMenCoedTeam,774602.9811653914
244,2012,TotalExpensesWomensTeamandWomenCoedTeam,489886.4696880518
245,2012,TotalExpensesMensTeamWomensTeamandCoedTeam,1264489.4508534432
246,2013,TotalUndergraduates,4450.7291910902695
247,2013,ParticipantsMensTeam,16.530005941770646
248,2013,ParticipantsWomensTeam,15.028467595396728
249,2013,TotalParticipantsMensTeamMenCoedTeam,16.30715123094959
250,2013,TotalParticipantsWomensTeamWomenCoedTeam,14.543962485345839
251,2013,OperatingExpensesperParticipantMensTeam,10822.808323563891
252,2013,OperatingExpensesperTeamMensTeam,168296.7942555686
253,2013,OperatingExpensesperParticipantWomensTeam,6942.5386869871045
254,2013,OperatingExpensesperTeamWomensTeam,108930.74208675264
255,2013,TotalOperatingExpensesMensTeamandWomensTeam,277227.5363423212
256,2013,RevenuesMensTeam,1033953.7017231135
257,2013,RevenuesWomensTeam,448942.5342216838
258,2013,TotalRevenuesForMensTeamandWomensTeam,1454483.1207502931
