,SurveyYear,InstitutionName,UGratioBG,MaleUndergraduates,FemaleUndergraduates,RevenuesMensTeam,RevenuesWomensTeam,ExpensesMensTeam,ExpensesWomensTeam,OperatingExpensesperTeamMensTeam,OperatingExpensesperTeamWomensTeam
58,2003,Averett University,0.8630338733431517,586.0,679.0,26500.0,21500.0,38045.0,35695.0,26500.0,24500.0
59,2003,Avila University,0.6370370370370371,344.0,540.0,174323.0,135899.0,174323.0,135899.0,28164.0,25865.0
60,2003,Azusa Pacific University,0.5419117647058823,1474.0,2720.0,87984.0,42628.0,251045.0,170678.0,49329.0,29611.0
61,2003,Babson College,1.4920174165457185,1028.0,689.0,14319.0,13949.0,77219.0,92949.0,14319.0,13949.0
62,2003,Bacone College,1.3222591362126246,398.0,301.0,280000.0,210000.0,280000.0,210000.0,29361.0,28222.0
63,2003,Baker University College of Arts and Sciences,0.9426605504587156,411.0,436.0,121741.0,101535.0,124092.0,93658.0,27640.0,26838.0
64,2003,Bakersfield College,0.77645826056584,2223.0,2863.0,12654.0,13254.0,106732.0,94322.0,6308.0,6308.0
65,2003,Baldwin-Wallace College,0.7147669848399776,1273.0,1781.0,176528.0,115108.0,176528.0,115108.0,46074.0,40269.0
66,2003,Ball State University,0.8807794304162343,7639.0,8673.0,566315.0,23092.0,969126.0,719612.0,127160.0,89926.0
67,2003,Baptist Bible College and Graduate School,1.1611721611721613,317.0,273.0,47380.0,28769.0,22500.0,20000.0,21000.0,18000.0
68,2003,Baptist Bible College and Seminary,0.7014563106796117,289.0,412.0,14956.0,12638.0,26025.0,14789.0,22025.0,10789.0
69,2003,Barclay College,1.011764705882353,86.0,85.0,4170.0,4170.0,4170.0,4170.0,2645.0,2645.0
70,2003,Bard College,0.6962719298245614,635.0,912.0,703.0,1.0,33104.0,24505.0,20985.0,9457.0
71,2003,Barry University,0.4447035309793471,1335.0,3002.0,95298.0,92565.0,105665.0,98198.0,51565.0,49198.0
72,2003,Barton College,0.46,299.0,650.0,197358.0,166465.0,195335.0,165886.0,21657.0,24175.0
73,2003,Barton County Community College,0.8744493392070485,397.0,454.0,94983.0,80373.0,201203.0,149931.0,40880.0,33493.0
74,2003,Bates College,0.9207920792079208,837.0,909.0,98644.0,64626.0,93260.0,62749.0,35149.0,21019.0
