,Rank,Name,Pos,Rating,Followers,state,Hometown,FollowersT,NILvalue2,NILVal,basketball,womens-basketball,gender
90,91,Justyn Mutts,SF,,10.9K,NJ,St Augustine Preparatory SchoolRichland,10900.0,93K,93000.0,1.0,,Mens
91,92,Nijel Pack,PG,91.4,14.3K,IN,Lawrence CentralIndianapolis,14300.0,92K,92000.0,1.0,,Mens
92,93,Zakai Zeigler,PG,,36K,NY,Immaculate ConceptionBronx,36000.0,92K,92000.0,1.0,,Mens
93,94,Brandon Murray,CG,93.57,10.8K,FL,IMG AcademyBradenton,10800.0,91K,91000.0,1.0,,Mens
94,95,Drew Peterson,SG,,9.6K,IL,LibertyvilleLibertyville,9600.0,90K,90000.0,1.0,,Mens
95,96,K.D. Johnson,PG,93.58,13K,VA,Hargrave Military Academy (HS)Chatham,13000.0,87K,87000.0,1.0,,Mens
96,97,Devin Carter,SG,93.33,108K,NH,Brewster AcademyWolfeboro,108000.0,86K,86000.0,1.0,,Mens
97,98,Holland Woods,PG,,106K,AZ,ApolloGlendale,106000.0,85K,85000.0,1.0,,Mens
98,99,Jesse Edwards,C,86.52,6.1K,FL,IMG AcademyBradenton,6100.0,84K,84000.0,1.0,,Mens
99,100,Chris Lykes,PG,95.12,123K,DC,Gonzaga Washington,123000.0,83K,83000.0,1.0,,Mens
100,1,Paige Bueckers,CG,,1.5M,MN,Hopkins Hopkins,1500000.0,824K,824000.0,,1.0,Womens
101,2,Hanna Cavinder,PG,,4.6M,AZ,GilbertGilbert,4600000.0,815K,815000.0,,1.0,Womens
102,3,Haley Cavinder,PG,,4.6M,AZ,GilbertGilbert,4600000.0,808K,808000.0,,1.0,Womens
103,4,Flau'jae Johnson,CG,,1.1M,GA,SprayberrySavannah,1100000.0,588K,588000.0,,1.0,Womens
104,5,Hailey Van Lith,PG,,772K,WA,CashmereWenatchee,772000.0,533K,533000.0,,1.0,Womens
105,6,Mia Mastrov,CG,,1M,CA,MiramonteLafayette,1000000.0,378K,378000.0,,1.0,Womens
106,7,Deja Kelly,CG,,611K,TX,DuncanvilleSan Antonio,611000.0,197K,197000.0,,1.0,Womens
107,8,Azzi Fudd,SG,,315K,VA,St Johns CollegeArlington,315000.0,191K,191000.0,,1.0,Womens
108,9,Zia Cooke,CG,,273K,OH,RogersToledo,273000.0,188K,188000.0,,1.0,Womens
109,10,Cameron Brink,SF,,285K,OR,MountainsideBeaverton,285000.0,175K,175000.0,,1.0,Womens
110,11,Caitlin Clark,CG,,202K,IA,Dowling CatholicWest Des Moines,202000.0,143K,143000.0,,1.0,Womens
111,12,Angel Reese,SF,,226K,MD,St. Francis AcademyBaltimore,226000.0,113K,113000.0,,1.0,Womens
112,13,Shaylee Gonzales,CG,,303K,AZ,MesquiteGilbert,303000.0,111K,111000.0,,1.0,Womens
113,14,Sydney Parrish,SG,,297K,IN,FishersFishers,297000.0,107K,107000.0,,1.0,Womens
114,15,Aliyah Boston,C,,170K,as,Worcester AcademySt. Thomas,170000.0,104K,104000.0,,1.0,Womens
115,16,Brea Beal,SF,,195K,IL,Rock IslandRock Island,195000.0,102K,102000.0,,1.0,Womens
116,17,Jordana Codio,CG,,194K,FL,Montverde AcademyWinter Garden,194000.0,96K,96000.0,,1.0,Womens
117,18,Rickea Jackson,SF,,375K,MI,Detroit Edison Detroit,375000.0,84K,84000.0,,1.0,Womens
118,19,Haley Jones,CG,,112K,CA,Archbishop MittySanta Cruz,112000.0,81K,81000.0,,1.0,Womens
119,20,Anna Camden,PF,,293K,PA,The Shipley SchoolDowningtown,293000.0,74K,74000.0,,1.0,Womens
120,21,Kiki Rice,PG,,52K,MD,Sidwell Friends SchoolBethesda,52000.0,48K,48000.0,,1.0,Womens
